,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Year,Month,Trades*Price,Day_Perc_Change,Trend
211,FORTIS,EQ,2018-03-16,160.25,161.0,161.65,155.1,        155.55,155.9,157.46,9233133,1453829310.05,40769,2041885,22.11,2018,3,6355887.100000001,-0.027145085803432112,Slight or No change
212,FORTIS,EQ,2018-03-19,155.9,156.0,158.35,151.6,        153.55,153.5,154.42,6711812,1036443497.0,31271,2368214,35.28,2018,3,4800098.5,-0.015394483643361156,Slight or No change
213,FORTIS,EQ,2018-03-20,153.5,150.6,157.75,150.6,        156.15,156.65,156.07,9023908,1408360854.55,41695,2833809,31.4,2018,3,6531521.75,0.020521172638436447,Slight or No change
214,FORTIS,EQ,2018-03-21,156.65,159.0,159.0,155.1,        155.75,155.95,156.41,5946386,930044580.5,24329,2123044,35.7,2018,3,3794107.55,-0.004468560485158091,Slight or No change
215,FORTIS,EQ,2018-03-22,155.95,156.0,157.2,153.45,        153.50,154.6,155.54,6066648,943634425.05,21779,2944792,48.54,2018,3,3367033.4,-0.008656620711766538,Slight or No change
216,FORTIS,EQ,2018-03-23,154.6,151.0,153.5,138.2,        141.60,143.5,145.23,21179106,3075867604.3,85867,5853609,27.64,2018,3,12321914.5,-0.07179818887451483,Slight or No change
217,FORTIS,EQ,2018-03-26,143.5,144.0,149.25,138.1,        149.05,147.65,144.62,17657482,2553579929.15,70819,5260656,29.79,2018,3,10456425.35,0.028919860627177663,Slight or No change
218,FORTIS,EQ,2018-03-27,147.65,152.0,153.9,140.65,        143.50,142.25,146.26,33244642,4862263548.45,135285,10376113,31.21,2018,3,19244291.25,-0.036572976633931664,Slight or No change
219,FORTIS,EQ,2018-03-28,142.25,133.5,136.8,120.45,        123.35,123.35,127.45,132125804,16839021931.75,412156,45928643,34.76,2018,3,50839442.599999994,-0.13286467486818987,Slight or No change
220,FORTIS,EQ,2018-04-02,123.35,125.95,129.55,124.35,        127.90,128.15,127.41,17926207,2284008282.15,88513,5927415,33.07,2018,4,11342940.950000001,0.03891366031617349,Slight or No change
221,FORTIS,EQ,2018-04-03,128.15,127.65,131.9,124.8,        129.95,129.95,128.35,13133571,1685744179.5,62290,3778075,28.77,2018,4,8094585.499999999,0.01404603979711272,Slight or No change
222,FORTIS,EQ,2018-04-04,129.95,130.8,133.5,127.55,        128.30,128.5,131.1,8091617,1060802997.45,41427,2839470,35.09,2018,4,5323369.5,-0.011158137745286512,Slight or No change
223,FORTIS,EQ,2018-04-05,128.5,131.0,138.8,128.2,        138.00,137.85,133.81,16172998,2164034473.7,75909,7289594,45.07,2018,4,10464055.65,0.07276264591439685,Slight or No change
